,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,lastDividendDate,impliedSharesOutstanding,toCurrency,trailingPE,fax,Growth
UPST,94403,Financial Services,554.0,"Upstart Holdings, Inc. operates a cloud- based artificial intelligence (AI) lending platform. The company's platform aggregates consumer demand for loans and connects it to its network of the company's AI- enabled bank partners. Its platform connects consumers, banks, and institutional investors through a shared AI lending platform. Upstart Holdings, Inc. was incorporated in 2012 and is headquartered in San Mateo, California.",San Mateo,650 204 1000,CA,United States,[],http://www.upstart.com,1,2950 South Delaware Street,Credit Services,Suite 300,0.11858,0.049250003,0.84436,145311008,0.82,0.10988,35166000.0,160.0,buy,203861000,,230.0,390.0,0.087,8.135,,7.0,234.0,18.875,,300.0,257016992,60512000,296568000.0,3.342,USD,9.192,5.109,1.7,NMS,"Upstart Holdings, Inc.","Upstart Holdings, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,UPST,,,finmb_306975137,1fadecdf-9472-3575-8802-01952ee7e699,us_market,,31.026,,261.65,,,,,76904200,,,,,10163918,0.1322,,1609372800,0.56249,10102000,,,,,0.20134,1672444800,,1617148800,1.87,1620950400,45627249,,9201185792,2,,,,,,5.826,101.132416,1623715200,1.41,,,,0.1973,5278317,,,379.68,385.0,173.20392,,0,,401.44,,4660614,379.68,297.99854,,385.0,4660614,,,,,,,380.6,USD,8515512,,,,29992638464,,,5051407,380.6,390.03,1800,8515512,401.49,,,22.61,390.1,False,,900,401.44,390.0,https://logo.clearbit.com/upstart.com,,,,,,238.31
METC,40507,Basic Materials,349.0,"Ramaco Resources, Inc. produces and sells metallurgical coal. The company's development portfolio includes the Elk Creek project consisting of approximately 20,166 acres of controlled mineral and 25 seams located in southern West Virginia; the Berwind property comprising approximately 31,200 acres of controlled mineral and an area of Squire Jim seam coal deposits, which is situated on the border of West Virginia and Virginia; the Knox Creek property consisting of approximately 62,100 acres of controlled mineral that is located in Virginia; and the RAM Mine property comprising approximately 1,570 acres of controlled mineral, which is situated in southwestern Pennsylvania. The company serves blast furnace steel mills and coke plants in the United States, as well as international metallurgical coal consumers. The company was founded in 2015 and is headquartered in Lexington, Kentucky.",Lexington,859 244 7455,KY,United States,[],http://www.ramacoresources.com,1,250 West Main Street,Coking Coal,Suite 1800,0.07356,0.02172,0.17478001,39401000,1.091,-0.0365,15457000.0,5.25,buy,23412000,20509624.0,11.0,15.19,2.75,1.565,-0.0196,5.0,10.25,7.254,0.025220001,13.0,19394000,13451000,210116000.0,0.44,USD,4.858,0.901,2.4,NMS,"Ramaco Resources, Inc.","Ramaco Resources, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,METC,,,finmb_384479410,86f34ec3-6d1a-346c-935f-acf0bf02871e,us_market,,3.161,,42.963,3.9967103,,2.06,,44109400,,,,4.204,242402,0.0055,,1609372800,0.64836997,4564000,0.099,,0.3047781,3.6132255,0.17399,1672444800,,1625011200,0.73,1630368000,10063993,0.87636,664078272,2,,,,,,2.749,3.1888185,1632960000,2.11,,7.3737864,,0.0185,119363,,,14.78,15.07,7.396259,,0,,15.35,,526414,14.78,12.295,,15.07,526414,,,,,,,14.85,USD,274546,,,,670021760,,,338046,14.85,15.4,1000,274546,16.75,,,2.67,14.96,False,,800,15.35,15.19,https://logo.clearbit.com/ramacoresources.com,,,,153.43434,,174.68
AMR,37620,Basic Materials,3300.0,"Alpha Metallurgical Resources, Inc. operates as a mining company. It produces, processes, and sells met coal and thermal coal in Virginia and West Virginia. It operates through two segments, Met and CAPP-Thermal. The Met segments operates five active mines and two preparation plants in Virginia; and seventeen active mines and five preparation plants in West Virginia. The CAPP - Thermal segments operates one active mine and one preparation plant in West Virginia. The company was formerly known as Contura Energy, Inc. and changed its name to Alpha Metallurgical Resources, Inc. in February 2021. Alpha Metallurgical Resources, Inc. was incorporated in 2016 and is based in Bristol, Tennessee.",Bristol,423 573 0300,TN,United States,[],http://www.alphametresources.com,1,340 Martin Luther King Jr. Boulevard,Coking Coal,,0.082440004,-0.15317,0.09386,24847000,0.117,-0.00756,118797000.0,38.0,hold,135176000,4902625.0,38.0,61.85,,1.715,-0.00368,1.0,38.0,357.089,-0.61153,38.0,72337000,579667008,1440971008.0,3.931,USD,78.445,0.896,3.0,NYQ,"Alpha Metallurgical Resources, ","Alpha Metallurgical Resources, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,AMR,,,finmb_372704180,,us_market,,1.142,,13.85,3.5985131,,7.33,,18400300,,,,8.822,858230,0.0466,,1609372800,0.62229,-174819008,-12.019,,0.3047781,7.010882,0.16063,1672444800,,1625011200,2.37,1630368000,14415544,1.266137,1645389568,2,,,,,,,0.78978586,1632960000,,,8.437926,,0.0495,661948,,,57.65,59.23,29.116547,,0,,63.53,,195314,57.65,51.626472,,59.23,195314,,,,1498780800.0,,,58.3515,USD,202446,,,,1138058496,,,287053,58.3515,62.1,1000,202446,66.04,,,11.13,57.8,False,,1100,63.53,61.85,https://logo.clearbit.com/alphametresources.com,,,,,,171.99
AFRM,94108,Technology,1641.0,"Affirm Holdings, Inc. operates a platform for digital and mobile-first commerce in the United States and Canada. The company's platform includes point-of-sale payment solution for consumers, merchant commerce solutions, and a consumer-focused app. Its payments network and partnership with an originating bank, enables consumers to pay for a purchase over time with terms ranging from one to forty-eight months. As of June 30, 2021, the company had approximately 29,000 merchants integrated on its platform covering small businesses, large enterprises, direct-to-consumer brands, brick-and-mortar stores, and companies. Its merchants represent a range of industries, including sporting goods and outdoors, furniture and homewares, travel, apparel, accessories, consumer electronics, and jewelry. The company was founded in 2012 and is headquartered in San Francisco, California.",San Francisco,415 984 0490,CA,United States,[],http://www.affirm.com,1,650 California Street,Information Technology Services,,-0.32002,-0.49505,0.49562,-193130000,0.707,-0.42236,-278567008.0,65.0,buy,431419000,-166142624.0,110.0,146.73,,18.23,-0.0733,13.0,117.69,76.799,-0.28555,160.0,1466557952,1982306048,870464000.0,5.394,USD,5.496,14.647,2.4,NMS,"Affirm Holdings, Inc.","Affirm Holdings, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,AFRM,,,finmb_695381746,,us_market,,46.421,,-145.056,0.5226482,,-0.52,,193968000,,,,9.583,9106464,0.0335,,1625011200,0.65016997,-430923008,-2.881,,0.3047781,15.311488,0.02347,1688083200,,1625011200,0.52,1630368000,150205403,,40407941120,2,,,,,,,45.828682,1632960000,2.45,,-282.17307,,0.0509,8412782,,,148.47,148.66,76.737335,,0,,153.2,,26336571,148.47,116.428825,,148.66,26336571,,,,,,,145.54,USD,16099506,,,,39892217856,,,11703075,145.54,147.0,1000,16099506,153.49,,,46.5,146.87,False,,1200,153.2,146.73,https://logo.clearbit.com/affirm.com,,271875008.0,,,,162.67
LXU,73116-2238,Basic Materials,573.0,"LSB Industries, Inc. manufactures, markets, and sells chemical products in the United States. It provides nitrogen-based fertilizers, such as ammonia, fertilizer grade ammonium nitrate (HDAN), and urea ammonia nitrate for fertilizer and fertilizer blends for corn and other crops, and NPK fertilizer blends applications. The company also offers high purity and commercial grade ammonia, high purity ammonium nitrate, sulfuric acids, mixed nitrating acids, carbon dioxide, and diesel exhaust fluids, as well as concentrated, blended, and regular nitric acids for various applications, including semi-conductor and polyurethane intermediates; pulp and paper, alum, water treatment, metals, and vanadium processing; power plant emissions abatement, water treatment, refrigerants, and metals processing; and exhaust stream additive, and horticulture/greenhouse applications; and refrigeration. In addition, it provides industrial grade ammonium nitrate, ammonium nitrate solutions, and HDAN solutions for the specialty emulsions for mining, surface mining, quarries, and construction applications. The company sells its products through distributors, as well as directly to end customers. It serves to the agricultural, industrial, and mining markets. LSB Industries, Inc. was founded in 1968 and is headquartered in Oklahoma City, Oklahoma.",Oklahoma City,405 235 4546,OK,United States,[],http://www.lsbindustries.com,1,3503 NW 63rd Street,Chemicals,Suite 500,0.19106,-0.07893,0.09596,8692000,0.34,0.01682,76747000.0,8.85,buy,17048000,-4599875.0,9.04,9.26,,1.501,0.0039399997,2.0,9.04,115.936,-0.07066,9.23,17625000,503004992,401684000.0,0.447,USD,10.913,0.888,2.0,NYQ,"LSB Industries, Inc.","LSB Industries, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,LXU,,,finmb_284668,,us_market,,2.853,,14.932,4.471817,,0.27,,88456896,,,,3.504,597695,0.0075,,1609372800,0.21508,-71954000,-1.956,,0.3047781,2.6426942,0.07357,1672444800,,1625011200,1.97,1630368000,6125654,2.259259,1145987328,2,,1633996800.0,13:10,,,,2.0391922,1632960000,-1.35,,34.296295,,0.0085,916307,,,9.58,9.58,5.8094134,,0,,9.7872,,328924,9.58,7.828077,,9.58,328924,,,,914889600.0,,,9.24,USD,276455,,,,819110848,,,435533,9.24,9.32,900,276455,10.5,,,1.423077,8.73,False,,1100,9.7872,9.26,https://logo.clearbit.com/lsbindustries.com,,,,,405 235 5067,148.72
TASK,78132,Technology,31500.0,"TaskUs, Inc. provides outsourcing services for companies worldwide. It offers digital customer experience that consists of omni-channel customer care services primarily delivered through digital channels; and other solutions, including customer care services for new product or market launches, trust and safety solutions, and customer acquisition solutions. The company also offers content security services, such as review and disposition of user and advertiser generated content for various proposals (removal or labeling of policy violating, and offensive or misleading content); and artificial intelligence (AI) solutions that consist of data labeling, annotation, and transcription services for training and tuning AI algorithms through the process of machine learning. It caters to online or app-based businesses and transforming industries, such as entertainment and gaming, fintech, health tech, ride-sharing, retail and e-commerce, food and grocery delivery, streaming media, and online digital marketplaces. TaskUs, Inc. was formerly known as TU TopCo, Inc. and changed its name to TaskUs, Inc. in December 2020. The company was incorporated in 2008 and is headquartered in New Braunfels, Texas with locations in Philippines, Taiwan, India, Europe, Colombia, the United States, and Mexico.",New Braunfels,888 400 8275,TX,United States,[],http://www.taskus.com,1,1650 Independence Drive,Information Technology Services,Suite 100,0.23726,-0.10844,0.44964,81947000,0.574,0.16754,140956992.0,37.0,buy,214636000,,48.5,64.76,,1.239,,6.0,49.67,76.587,,65.0,195927008,242035008,594110016.0,2.014,USD,6.455,1.195,1.9,NMS,"TaskUs, Inc.","TaskUs, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,TASK,,,finmb_250281193,,us_market,,10.683,,45.025,1.0829849,,1.26,,15180000,,,,3.248,1168465,0.012,,1609372800,1.4427,-64426000,-0.7,,0.3047781,19.938425,0.0,1672444800,,1625011200,1.1,1630368000,8701633,,6346619904,2,,,,,,,10.604961,1632960000,1.68,,51.396828,,0.077,390785,,,67.17,68.7,46.645283,,0,,68.86,,1115200,67.17,66.30029,,68.7,1115200,,,,,,,63.05,USD,940574,,,,6300513792,,,781806,63.05,64.81,1300,940574,85.494,,,26.66,64.0,False,,900,68.86,64.76,https://logo.clearbit.com/taskus.com,,97290200.0,,,,136.18
SLI,V6B 5C6,Basic Materials,,"Standard Lithium Ltd. explores for, develops, and processes lithium brine properties in the United States. Its flagship project is the Lanxess project where it operates approximately 150,000 acres of brine leases located in south-western Arkansas. The company was formerly known as Patriot Petroleum Corp. and changed its name to Standard Lithium Ltd. in December 2016. Standard Lithium Ltd. was incorporated in 1998 and is headquartered in Vancouver, Canada.",Vancouver,604-259-2963,BC,Canada,[],http://www.standardlithium.com,1,375 Water Street,Other Industrial Metals & Mining,Suite 110,0.0,0.0,0.0,-3005250,,0.0,,,none,-110158,-18834860.0,,11.03,,20.483,-0.21197,,,6.454,-0.37874,,30264028,4575867,,0.226,CAD,,20.258,,ASE,Standard Lithium Ltd.,Standard Lithium Ltd.,America/New_York,EDT,False,-14400000,,EQUITY,SLI,,,finmb_3175246,,us_market,,,,,6.4527025,,,,140354000,,,,0.534,2103117,0.015,,1593475200,0.08162,-22823028,-0.167,,0.3047781,20.655432,0.04818,1656547200,,1617148800,0.88,1630368000,127601166,1.735873,1453461888,2,,,,,,,,1632960000,,,,,,897672,,,10.15,10.8,5.123935,,0,,11.31,,2818471,10.15,7.4161763,,10.8,2818471,,,,,,,10.2001,USD,4671151,,,,1576330240,,,1971917,10.2001,11.1,1100,4671151,11.31,,,1.33,11.1,False,,1100,11.31,11.03,https://logo.clearbit.com/standardlithium.com,,,,,,132.21
SD,73102-6406,Energy,114.0,"SandRidge Energy, Inc. engages in the acquisition, development, and production of oil and natural gas primarily in the United States Mid-Continent. As of December 31, 2020, it holds interest in approximately 380,000 net leasehold acres in Oklahoma and Kansas, as well as total proved developed reserves of 33.4 million barrels of oil equivalent. The company was incorporated in 2006 and is headquartered in Oklahoma City, Oklahoma. On May 16, 2016, SandRidge Energy, Inc. and its direct and indirect subsidiaries filed voluntary petitions for reorganization under Chapter 11 of the United States Bankruptcy Code in the United States Bankruptcy Court for the Southern District of Texas.",Oklahoma City,405 429 5500,OK,United States,[],http://www.sandridgeenergy.com,1,1 E. Sheridan Avenue,Oil & Gas E&P,Suite 500,0.55253,0.019,0.63781,55931000,1.053,0.32141,69514000.0,,none,61911000,69877128.0,,11.52,,1.917,0.07754,,,11.138,0.01349,,88338000,20000000,125811000.0,2.421,USD,3.496,1.84,,NYQ,"SandRidge Energy, Inc.","SandRidge Energy, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,SD,,,finmb_4368532,,us_market,,2.798,,5.064,6.245283,,1.09,,36588800,,,,4.925,1087478,0.0297,,1609372800,0.52738,2391000,0.066,,0.3047781,2.3390863,0.02159,1672444800,,1625011200,1.11,1630368000,32613667,2.976365,352012672,2,,,,,,,3.3502874,1632960000,,,10.568808,,0.0348,745268,,,12.33,12.41,7.1291366,,0,,12.58,,883714,12.33,11.582647,,12.41,883714,,,,,,,11.48,USD,846202,,,,421503008,,,868403,11.48,12.05,800,846202,14.78,,,1.56,11.4,False,,1100,12.58,11.52,https://logo.clearbit.com/sandridgeenergy.com,,,,174.54546,,128.12
LC,94105,Financial Services,1030.0,"LendingClub Corporation, operates as a bank holding company for LendingClub Bank, National Association that provides range of financial products and services through a technology-driven platform in the United States. The company provides commercial and industrial, commercial real estate, small business, and equipment loans, as well as leases equipment; and unsecured personal and auto, patient finance, and education finance loans. It also operates an online lending marketplace platform that connects borrowers and investors. The company was incorporated in 2006 and is headquartered in San Francisco, California.",San Francisco,415 632 5600,CA,United States,[],http://www.lendingclub.com,1,595 Market Street,Credit Services,Suite 200,0.10718001,-0.17951,0.91573,505017984,1.793,0.051599998,58928000.0,14.0,buy,450059000,-1791366272.0,28.0,34.2,,16.551,0.0052,6.0,26.92,115.649,-0.13085,35.0,568646016,881659008,549803008.0,5.767,USD,5.85,3.755,2.5,NYQ,LendingClub Corporation,LendingClub Corporation,America/New_York,EDT,False,-14400000,,EQUITY,LC,,,finmb_34600869,,us_market,,6.702,,62.534,5.965377,,0.82,,98601200,,,,7.732,4383408,0.044499997,,1609372800,0.81911004,-98693000,-1.05,,0.3047781,4.423177,0.021170001,1672444800,,1625011200,2.45,1630368000,96337097,1.894179,3685028352,2,,1562544000.0,1:5,,,,6.1333985,1632960000,9.33,,41.707317,,0.0452,4179544,,,33.63,34.56,20.972301,,0,,34.73,,2666971,33.63,29.530882,,34.56,2666971,,,,,,,33.28,USD,2215084,,,,3372161024,,,2599225,33.28,34.2,1300,2215084,34.73,,,4.4,33.83,False,,900,34.73,34.2,https://logo.clearbit.com/lendingclub.com,,,,,,126.04
CAR,07054,Industrials,15000.0,"Avis Budget Group, Inc., together with its subsidiaries, provides car and truck rentals, car sharing, and ancillary services to businesses and consumers. It operates the Avis brand, a vehicle rental system that supply rental cars to the premium commercial and leisure segments of the travel industry; the Budget Truck brand, a local and one-way truck rental businesses with a fleet of approximately 20,000 vehicles, which are rented through a network of approximately 515 dealer-operated and 410 company-operated locations that serve the consumer and light commercial sectors in the continental United States; and the Zipcar brand, a car sharing network. The company also operates various other car rental brands, such as Budget, Payless, Apex, Maggiore, MoriniRent, FranceCars, Amicoblue, Turiscar, and ACL Hire. In addition, it offers optional insurance products and coverages, such as supplemental liability, personal accident, personal effects protection, emergency sickness protection, and cargo insurance products; fuel service options, roadside assistance services, electronic toll collection services, curbside delivery, tablet rentals, access to satellite radio, portable navigation units, and child safety seat rentals; automobile towing equipment and other moving accessories, such as hand trucks, furniture pads, and moving supplies; and Business Intelligence solution, an online portal for corporate travel. Avis Budget Group, Inc. operates in approximately 10,600 locations worldwide. The company was formerly known as Cendant Corporation and changed its name to Avis Budget Group, Inc. in September 2006. Avis Budget Group, Inc. was founded in 1946 and is headquartered in Parsippany, New Jersey.",Parsippany,973 496 4700,NJ,United States,[],http://www.avisbudgetgroup.com,1,6 Sylvan Way,Rental & Leasing Services,,0.1734,0.027590001,0.3373,1596000000,2.12,0.14882,1150000000.0,77.0,buy,1024000000,1616999936.0,105.0,150.97,,1.142,0.02823,6.0,103.17,18686.957,,125.0,1324000000,17191999488,6632000000.0,19.897,USD,95.014,0.999,2.2,NMS,"Avis Budget Group, Inc.","Avis Budget Group, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,CAR,,,finmb_26268,,us_market,,3.907,,22.534,3.561027,,8.21,,66542500,,,,1.314,13630057,0.2048,,1609372800,1.04413,183000000,2.599,0.176,0.3047781,114.893456,0.0148,1672444800,,1625011200,6.57,1630368000,46909157,2.130158,25913925632,2,,1157414400.0,1:10,,,,1.514765,1632960000,0.26,,18.38855,,0.2874,11399961,,,147.19,149.93,89.53029,,0,,152.4558,,2408014,147.19,111.18176,,149.93,2408014,,,,1140652800.0,,,145.33,USD,1461419,,,,10045921280,,,1929615,145.33,151.38,800,1461419,154.14,,,28.2,150.05,False,,800,152.4558,150.97,https://logo.clearbit.com/avisbudgetgroup.com,1140652800.0,,,58.087727,,119.62
